loan_id,customer_id,loan_status,application_time,current_loan_amount,term,tax_liens,purpose,no_of_properties,home_ownership,annual_income,years_in_current_job,months_since_last_delinquent,no_of_cars,no_of_children,credit_score,monthly_debt,years_of_credit_history,no_of_open_accounts,no_of_credit_problems,current_credit_balance,max_open_credit,bankruptcies
abf3db48-e6fb-4ac5-884a-598f1a2979fc,00024ad3-b367-44e3-81ff-4bee18ed00b4,loan given,2015-07-19 10:17:00,99999999.0,short term,0.0,debt consolidation,4.0,home mortgage,161684.0,10+ years,,0.0,1.0,747.0,1414.73,26.0,9.0,0.0,33575.0,0,0.0
f36ec981-8ad7-4757-9541-d9d6d8561bb3,0003f10e-f8f4-4eb1-9bb8-b980fdda707c,loan given,2015-10-03 10:34:00,11940.0,short term,0.0,debt consolidation,4.0,own home,,10+ years,,5.0,1.0,,1439.44,21.0,12.0,0.0,6267.0,49343,0.0
7661d390-2394-4ee1-b2e7-8440f8c5f978,000685bc-92e8-44ca-9943-7668d3efc988,loan given,2015-07-06 13:54:00,9843.0,short term,0.0,debt consolidation,2.0,rent,98399.0,10+ years,16.0,0.0,2.0,735.0,1361.18,33.0,18.0,0.0,4554.0,24752,0.0
cd6cb65b-10a1-43b8-a83d-569184b35ae7,0007b08c-a4ba-436d-af3e-d91745216fd8,loan given,2015-08-22 11:01:00,16400.0,short term,0.0,home improvements,4.0,own home,97375.0,10+ years,,3.0,3.0,749.0,177.71,21.0,14.0,0.0,2806.0,93549,0.0
ef7904b9-94ec-4e54-b43b-d0c8ea0f5f74,000db80b-d11b-4f8f-aaa8-597ff693131b,loan given,2015-06-07 10:38:00,27829.0,short term,0.0,debt consolidation,0.0,home mortgage,99390.0,10+ years,,5.0,2.0,749.0,2103.76,29.0,23.0,0.0,164392.0,395174,0.0
cdc43992-adf1-4dfb-b140-ea82c6632f94,000e5096-7c7a-4c8c-9a74-434cea94e4bf,loan refused,2015-06-04 11:39:00,15047.0,short term,0.0,debt consolidation,2.0,home mortgage,42788.0,nan,,4.0,0.0,7360.0,211.8,32.0,5.0,0.0,7498.0,10532,0.0
4d16debf-6104-4652-a9a2-20f15b3e986e,000ed381-6725-43b5-bc13-4b742bd9b212,loan refused,2015-07-10 14:02:00,3007.0,short term,0.0,debt consolidation,4.0,own home,33794.0,nan,,3.0,0.0,740.0,402.71,24.0,6.0,0.0,16148.0,18434,0.0
c6e62921-023d-4033-9805-0179cde0de33,00132610-2f2f-4aeb-a371-2d66aca1248e,loan given,2015-10-24 14:29:00,13092.0,long term,0.0,debt consolidation,1.0,,,,,,,,,,,,,,
aea15487-584b-4f41-a012-6f04d023defe,001534d4-00d8-4b98-acdc-a43a92892e4f,loan given,2015-06-11 10:51:00,29346.0,long term,0.0,debt consolidation,3.0,,,,,,,,,,,,,,
a706e06d-89dd-46be-8b89-0cb3f6929e2f,001e1c88-c4fe-4727-80b9-d3464230602d,loan given,2015-09-04 10:24:00,34332.0,short term,0.0,debt consolidation,4.0,home mortgage,132422.0,< 1 year,,0.0,3.0,740.0,1478.71,23.0,15.0,0.0,33471.0,54961,0.0
e0167686-c2d8-44e6-8b1d-7edfb27487a4,001fb8e3-d795-401b-a636-79da109ce54e,loan given,2015-12-26 11:22:00,16200.0,long term,0.0,debt consolidation,3.0,,,,,,,,,,,,,,
8fe90c6d-e1a2-425b-af7c-ecd30300911a,00210657-a198-4c75-84b5-eb4ac564e3b9,loan given,2015-10-18 11:33:00,9777.0,short term,0.0,other,2.0,,,,,,,,,,,,,,
16bed324-b76b-4d93-8051-99f6b48b19b0,0021178d-6d86-4b76-bfb0-855e6c6fa4d1,loan given,2015-10-30 11:01:00,11761.0,short term,0.0,debt consolidation,2.0,home mortgage,29526.0,< 1 year,,1.0,0.0,720.0,492.1,9.0,12.0,0.0,11590.0,17119,0.0
13507e55-5312-4417-9594-0812f2c9c81c,0021712b-ea5a-4478-80e7-4789321f830a,loan refused,2015-09-23 11:48:00,35788.0,long term,0.0,debt consolidation,1.0,home mortgage,,8 years,25.0,5.0,1.0,,908.37,19.0,8.0,0.0,14845.0,32412,0.0
3ff96a33-1fc4-4a1f-aefa-a5c76ed3a262,00274455-c9b1-4721-a9af-f629070694d1,loan refused,2015-08-04 13:50:00,18304.0,long term,0.0,home improvements,3.0,own home,76268.0,10+ years,,0.0,3.0,741.0,966.06,16.0,8.0,0.0,27735.0,35376,0.0
5e3912d5-e8b8-49a9-bccf-63dff60d21c9,0028e39f-3a47-48e7-bdd0-69c278f1977d,loan given,2015-11-12 11:48:00,99999999.0,short term,0.0,debt consolidation,1.0,rent,73418.0,< 1 year,,3.0,2.0,747.0,1370.46,13.0,16.0,0.0,13089.0,49206,0.0
136fe944-059d-4a9a-8780-bc0e292c8c0c,002bc5f8-d5a8-4829-a6ca-5c624c9d15e6,loan given,2015-12-30 11:46:00,99999999.0,short term,0.0,debt consolidation,3.0,,,,,,,,,,,,,,
b26e56aa-64e2-4a94-97f6-476a832a8d72,002c8210-0d81-4ce4-adca-ae2e4a83ac24,loan given,2015-06-18 12:13:00,99999999.0,long term,0.0,debt consolidation,0.0,,,,,,,,,,,,,,
0d86daa7-6a57-41f0-b280-59df2e9268ec,00300a4b-9c2e-4b90-8aa1-9d351fa06ede,loan given,2015-09-15 11:29:00,10167.0,short term,0.0,debt consolidation,0.0,home mortgage,81336.0,< 1 year,,4.0,2.0,750.0,407.36,14.0,7.0,0.0,5509.0,49192,0.0
85892e59-7e38-4991-bb38-69107cc3edaa,003185a1-5117-467a-bb72-a65633fcf0dc,loan given,2015-07-07 12:58:00,4038.0,short term,0.0,debt consolidation,3.0,home mortgage,60570.0,2 years,5.0,0.0,3.0,739.0,479.51,22.0,5.0,0.0,16257.0,16273,0.0
4719c48c-ce12-4c66-8890-05663b559a8e,0031f092-f345-457c-82b8-51f7003e4dca,loan given,2015-10-17 11:39:00,14726.0,short term,0.0,debt consolidation,1.0,rent,,10+ years,,1.0,1.0,,670.83,39.0,7.0,0.0,17733.0,29071,0.0
04aab85c-4820-4e24-852c-ef9c964d1596,00351a54-f6ba-481a-b160-1cd0d06a7401,loan refused,2015-08-05 13:25:00,4328.0,short term,0.0,home improvements,1.0,rent,49460.0,10+ years,,1.0,0.0,696.0,647.1,24.0,6.0,0.0,9783.0,10882,0.0
6d2556cf-8a94-4d14-b3c4-48ab21b2824b,0036b0bf-c999-4016-b38e-3c580cc5d9a9,loan given,2015-10-04 10:58:00,16949.0,long term,0.0,debt consolidation,2.0,,,,,,,,,,,,,,
8ba3b46b-5928-439d-95fc-08b48adb036c,0037fc7d-06ce-4063-bf25-749200ebb3c6,loan given,2015-10-03 13:37:00,18263.0,long term,0.0,debt consolidation,1.0,home mortgage,56818.0,10+ years,67.0,3.0,1.0,732.0,1254.73,15.0,19.0,0.0,14111.0,39527,0.0
4400b598-1c68-471e-a1c1-2529f10c955c,003c0c2e-4b7c-4813-840a-f371fc23eec2,loan given,2015-06-24 11:18:00,11652.0,long term,0.0,debt consolidation,3.0,home mortgage,67980.0,10+ years,,3.0,2.0,704.0,2152.68,18.0,9.0,0.0,6104.0,13969,0.0
ffd64994-2fe2-4ff8-a39d-4091e9798468,003e89d5-2e91-4256-954f-dc5313c83c05,loan given,2015-09-21 14:23:00,7556.0,short term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,
4756e013-d572-45b1-9ad8-8362f69dd424,0041e9cf-01b3-4afc-8a7b-cf3bd59bf426,loan given,2015-12-20 10:30:00,15870.0,short term,0.0,debt consolidation,2.0,rent,39676.0,10+ years,,5.0,2.0,741.0,257.89,17.0,4.0,0.0,11887.0,14479,0.0
b3ecb857-5413-4248-a2e4-18fe66138460,004424a9-980a-4885-bbd3-702100ab285a,loan given,2015-12-18 12:13:00,9049.0,short term,0.0,debt consolidation,2.0,home mortgage,63340.0,6 years,65.0,0.0,3.0,742.0,696.74,14.0,8.0,0.0,5190.0,10768,0.0
00d5d89a-989d-4eb6-9196-e67c1fb08abc,0045135b-1415-4e7d-81cc-1405af32f275,loan given,2015-07-11 10:11:00,12604.0,long term,0.0,debt consolidation,1.0,,,,,,,,,,,,,,
136c55d3-a724-495e-a34e-fc112537201d,0046bc6a-3f72-4463-993f-8f8caeb874bb,loan given,2015-07-18 11:23:00,20436.0,long term,0.0,debt consolidation,1.0,,,,,,,,,,,,,,
b8579c5b-9182-4a11-bb79-bb79c4178b12,00477151-a4b2-4566-9347-8970db7faa94,loan given,2015-12-23 14:01:00,7907.0,short term,0.0,debt consolidation,1.0,home mortgage,33606.0,3 years,51.0,5.0,0.0,733.0,464.87,15.0,5.0,1.0,5443.0,8005,1.0
a5c8640d-0e69-4216-8728-2edf74f5ae5b,00498bfb-2998-4d48-9d98-a643bebada9c,loan given,2015-12-29 13:04:00,4891.0,short term,0.0,other,2.0,rent,29299.0,4 years,39.0,4.0,3.0,749.0,439.49,10.0,5.0,0.0,1983.0,3132,0.0
c999708f-fb00-49df-9c11-aa2939c0c3d1,004ae703-3c33-4e09-8020-9e48f797fa79,loan given,2015-11-28 10:48:00,99999999.0,short term,0.0,debt consolidation,3.0,rent,58752.0,< 1 year,,2.0,1.0,738.0,597.31,8.0,9.0,0.0,5872.0,8623,0.0
13945df2-12c1-4e97-b41c-696454b019ff,005045c0-fe30-443b-8eb3-64bb67da9c98,loan given,2015-11-28 11:48:00,17658.0,short term,0.0,debt consolidation,2.0,rent,,10+ years,36.0,0.0,3.0,,435.06,21.0,13.0,0.0,15782.0,39454,0.0
5f0bc2d5-6fcf-4fb6-a14f-c12a43573ad0,00544c75-ec84-447e-b44b-a06528d84e65,loan given,2015-11-02 11:14:00,3094.0,short term,0.0,take a trip,3.0,,,,,,,,,,,,,,
