loan_id,customer_id,loan_status,application_time,current_loan_amount,term,tax_liens,purpose,no_of_properties,home_ownership,annual_income,years_in_current_job,months_since_last_delinquent,no_of_cars,no_of_children,credit_score,monthly_debt,years_of_credit_history,no_of_open_accounts,no_of_credit_problems,current_credit_balance,max_open_credit,bankruptcies
abf3db48-e6fb-4ac5-884a-598f1a2979fc,00024ad3-b367-44e3-81ff-4bee18ed00b4,loan given,2015-07-19 10:17:00,99999999,short term,0.0,debt consolidation,4,home mortgage,161684.0,10+ years,None,0,1,747.0,1414.73,26.0,9,0,33575,0,0.0
f36ec981-8ad7-4757-9541-d9d6d8561bb3,0003f10e-f8f4-4eb1-9bb8-b980fdda707c,loan given,2015-10-03 10:34:00,11940,short term,0.0,debt consolidation,4,own home,None,10+ years,None,5,1,None,1439.44,21.2,12,0,6267,49343,0.0
7661d390-2394-4ee1-b2e7-8440f8c5f978,000685bc-92e8-44ca-9943-7668d3efc988,loan given,2015-07-06 13:54:00,9843,short term,0.0,debt consolidation,2,rent,98399.0,10+ years,16.0,0,2,735.0,1361.18,33.2,18,0,4554,24752,0.0
cd6cb65b-10a1-43b8-a83d-569184b35ae7,0007b08c-a4ba-436d-af3e-d91745216fd8,loan given,2015-08-22 11:01:00,16400,short term,0.0,home improvements,4,own home,97375.0,10+ years,None,3,3,749.0,177.71,20.9,14,0,2806,93549,0.0
f122c3f1-08ef-439e-912a-449802deb2a1,000877d4-55ed-4126-abda-968f61da7b7f,loan given,2015-04-25 12:50:00,5072,short term,0.0,debt consolidation,0,,,,,,,,,,,,,,
e4deec6d-406f-4873-bbdf-46f252c0b92c,0008bc47-41f5-4e2b-b656-db39bc194a01,loan given,2015-04-25 11:34:00,12317,long term,0.0,debt consolidation,0,,,,,,,,,,,,,,
87b6a064-b524-4cff-a968-b176bdc70075,000bbb5d-3a62-4712-908e-caacd7a815d5,loan given,2015-01-06 14:43:00,33231,short term,0.0,debt consolidation,1,,,,,,,,,,,,,,
ef7904b9-94ec-4e54-b43b-d0c8ea0f5f74,000db80b-d11b-4f8f-aaa8-597ff693131b,loan given,2015-06-07 10:38:00,27829,short term,0.0,debt consolidation,0,home mortgage,99390.0,10+ years,None,5,2,749.0,2103.76,29.0,23,0,164392,395174,0.0
cdc43992-adf1-4dfb-b140-ea82c6632f94,000e5096-7c7a-4c8c-9a74-434cea94e4bf,loan refused,2015-06-04 11:39:00,15047,short term,0.0,debt consolidation,2,home mortgage,42788.0,none,None,4,0,7360.0,211.8,32.0,5,0,7498,10532,0.0
4d16debf-6104-4652-a9a2-20f15b3e986e,000ed381-6725-43b5-bc13-4b742bd9b212,loan refused,2015-07-10 14:02:00,3007,short term,0.0,debt consolidation,4,own home,33794.0,none,None,3,0,740.0,402.71,23.7,6,0,16148,18434,0.0
54bd20d4-3baf-4143-afc5-b6db9300a14d,00127cca-7050-4867-9410-8249ef8ad4d2,loan given,2015-04-08 12:23:00,15612,long term,0.0,home improvements,2,,,,,,,,,,,,,,
c6e62921-023d-4033-9805-0179cde0de33,00132610-2f2f-4aeb-a371-2d66aca1248e,loan given,2015-10-24 14:29:00,13092,long term,0.0,debt consolidation,1,,,,,,,,,,,,,,
3818489f-f665-49ec-996d-0193be1f7bda,00133763-a161-422b-9ff8-429139fc54cc,loan given,2015-05-24 13:40:00,9125,short term,0.0,debt consolidation,0,rent,36306.0,none,None,4,3,749.0,305.57,20.8,10,0,8646,26278,0.0
b74cc66f-320d-4e6a-b366-5aec8414725b,0013a923-3fcb-4f4c-be49-38cfc90a8377,loan refused,2015-02-10 12:07:00,7959,short term,0.0,home improvements,2,home mortgage,None,2 years,None,4,0,None,949.3,20.8,12,1,4993,14729,1.0
aea15487-584b-4f41-a012-6f04d023defe,001534d4-00d8-4b98-acdc-a43a92892e4f,loan given,2015-06-11 10:51:00,29346,long term,0.0,debt consolidation,3,,,,,,,,,,,,,,
52770c12-6d66-4fec-a3ea-4c1b00569f6c,00175655-b8f5-4ac5-85b4-459902a33fc8,loan given,2015-04-15 12:16:00,6011,short term,0.0,small_business,4,,,,,,,,,,,,,,
de64be8f-610f-4d0c-a8ad-91399a1e3524,001ccc7d-06e8-4dd8-8377-acaa447a9f3c,loan refused,2015-02-22 11:44:00,2464,short term,0.0,debt consolidation,3,rent,44352.0,5 years,29.0,0,0,722.0,1105.1,17.4,9,0,11859,17941,0.0
a706e06d-89dd-46be-8b89-0cb3f6929e2f,001e1c88-c4fe-4727-80b9-d3464230602d,loan given,2015-09-04 10:24:00,34332,short term,0.0,debt consolidation,4,home mortgage,132422.0,< 1 year,None,0,3,740.0,1478.71,23.0,15,0,33471,54961,0.0
e0167686-c2d8-44e6-8b1d-7edfb27487a4,001fb8e3-d795-401b-a636-79da109ce54e,loan given,2015-12-26 11:22:00,16200,long term,0.0,debt consolidation,3,,,,,,,,,,,,,,
8fe90c6d-e1a2-425b-af7c-ecd30300911a,00210657-a198-4c75-84b5-eb4ac564e3b9,loan given,2015-10-18 11:33:00,9777,short term,0.0,other,2,,,,,,,,,,,,,,
16bed324-b76b-4d93-8051-99f6b48b19b0,0021178d-6d86-4b76-bfb0-855e6c6fa4d1,loan given,2015-10-30 11:01:00,11761,short term,0.0,debt consolidation,2,home mortgage,29526.0,< 1 year,None,1,0,720.0,492.1,8.9,12,0,11590,17119,0.0
13507e55-5312-4417-9594-0812f2c9c81c,0021712b-ea5a-4478-80e7-4789321f830a,loan refused,2015-09-23 11:48:00,35788,long term,0.0,debt consolidation,1,home mortgage,None,8 years,25.0,5,1,None,908.37,19.3,8,0,14845,32412,0.0
