loan_id,customer_id,loan_status,application_time,current_loan_amount,term,tax_liens,purpose,no_of_properties,home_ownership,annual_income,years_in_current_job,months_since_last_delinquent,no_of_cars,no_of_children,credit_score,monthly_debt,years_of_credit_history,no_of_open_accounts,no_of_credit_problems,current_credit_balance,max_open_credit,bankruptcies,application_date,application_year,application_month,application_week,application_day,application_season,current_credit_balance_ratio
c618eb4d-5592-425a-90b3-0f94afb6c69d,00003c89-d86a-48a2-9f95-e1ec9d488ee1,1,2016-05-05 11:01:00,3936.0,0,0.0,0.7925357813801251,4.0,0.0,114144.0,0,35.32015393209608,0.0,3.0,729.0,756.2,8.8,21.0,0.0,5717.0,13876.0,0.0,2016-05-05,2016,5,18,5,2,1.452489837398374
7fd66214-49ca-4313-967a-50d200b3752a,00010876-7972-40c5-8238-e1f187ca1396,1,2016-05-30 12:16:00,19508.0,0,0.0,0.7925357813801251,3.0,1.0,72390.11207198375,-1,35.32015393209608,2.0,3.0,1356.613038759147,1108.88,18.2,18.0,0.0,36103.0,74134.0,0.0,2016-05-30,2016,5,22,30,2,1.850676645478778
9dd417c9-590d-4dba-a326-ea3321d98a24,0002005f-3575-462e-bb81-714530e8e752,1,2016-05-31 13:48:00,6402.0,0,0.0,0.7925357813801251,0.0,1.0,80024.0,4,43.0,2.0,3.0,736.0,1333.73,35.6,14.0,1.0,7145.0,20532.0,1.0,2016-05-31,2016,5,22,31,2,1.1160574820368634
abf3db48-e6fb-4ac5-884a-598f1a2979fc,00024ad3-b367-44e3-81ff-4bee18ed00b4,1,2015-07-19 10:17:00,99999999.0,0,0.0,0.7925357813801251,4.0,1.0,161684.0,11,35.32015393209608,0.0,1.0,747.0,1414.73,26.0,9.0,0.0,33575.0,0.0,0.0,2015-07-19,2015,7,29,19,3,0.00033575000335750004
f36ec981-8ad7-4757-9541-d9d6d8561bb3,0003f10e-f8f4-4eb1-9bb8-b980fdda707c,1,2015-10-03 10:34:00,11940.0,0,0.0,0.7925357813801251,4.0,2.0,72390.11207198375,11,35.32015393209608,5.0,1.0,1356.613038759147,1439.44,21.2,12.0,0.0,6267.0,49343.0,0.0,2015-10-03,2015,10,40,3,4,0.5248743718592965
7661d390-2394-4ee1-b2e7-8440f8c5f978,000685bc-92e8-44ca-9943-7668d3efc988,1,2015-07-06 13:54:00,9843.0,0,0.0,0.7925357813801251,2.0,0.0,98399.0,11,16.0,0.0,2.0,735.0,1361.18,33.2,18.0,0.0,4554.0,24752.0,0.0,2015-07-06,2015,7,28,6,3,0.4626638220054861
56f59a9d-6b62-48d0-a121-82b64760fe6c,0006b5d2-2fc7-41f8-85ca-8402226940bb,0,2016-01-17 12:16:00,20812.0,1,0.0,0.08818003989696512,2.0,1.0,72390.11207198375,9,35.32015393209608,3.0,2.0,1356.613038759147,1031.63,15.1,20.0,0.0,11825.0,19291.0,0.0,2016-01-17,2016,1,2,17,1,0.5681818181818182
cd6cb65b-10a1-43b8-a83d-569184b35ae7,0007b08c-a4ba-436d-af3e-d91745216fd8,1,2015-08-22 11:01:00,16400.0,0,0.0,0.05748261770573083,4.0,2.0,97375.0,11,35.32015393209608,3.0,3.0,749.0,177.71,20.9,14.0,0.0,2806.0,93549.0,0.0,2015-08-22,2015,8,34,22,3,0.17109756097560977
c0d81bd9-a06b-4040-915b-1757b828fe8c,00092d54-c8d4-4749-8ff2-f2f25af4a31d,0,2016-04-16 11:03:00,18090.0,0,0.0,0.7925357813801251,3.0,1.0,72390.11207198375,11,35.32015393209608,1.0,2.0,1356.613038759147,1430.87,15.2,12.0,0.0,32727.0,42011.0,0.0,2016-04-16,2016,4,15,16,2,1.8091210613598674
b986fc3f-01dc-4ecd-9d3c-3770be1a9c77,00099fd2-d3a6-45a9-a1bd-076ffe3f6de7,1,2016-03-13 13:15:00,99999999.0,0,0.0,0.7925357813801251,3.0,0.0,68558.0,0,35.32015393209608,0.0,2.0,744.0,1011.23,12.8,11.0,0.0,14656.0,20671.0,0.0,2016-03-13,2016,3,10,13,1,0.00014656000146560003
4345fb18-e180-4e5d-acaa-0094a35aefa7,000d6327-c459-4bd5-bc1b-4437b366b719,1,2016-04-07 14:23:00,10134.0,0,0.0,0.08818003989696512,1.0,1.0,72390.11207198375,-1,35.32015393209608,2.51250734940403,1.498556844299535,1356.613038759147,950.3835275409572,18.489755993265092,11.096346580431355,0.14613678274581074,15419.133174760136,37916.40196707291,0.10235461144892985,2016-04-07,2016,4,14,7,2,0.0
ef7904b9-94ec-4e54-b43b-d0c8ea0f5f74,000db80b-d11b-4f8f-aaa8-597ff693131b,1,2015-06-07 10:38:00,27829.0,0,0.0,0.7925357813801251,0.0,1.0,99390.0,11,35.32015393209608,5.0,2.0,749.0,2103.76,29.0,23.0,0.0,164392.0,395174.0,0.0,2015-06-07,2015,6,23,7,2,5.907219088001725
55810357-13e5-4c12-8707-e6e09a82299e,000e1ab7-41d9-46a0-be1c-21f81721a040,1,2016-01-14 12:01:00,7881.0,0,0.0,0.7925357813801251,1.0,1.0,89644.0,4,42.0,0.0,0.0,746.0,1255.02,15.6,8.0,0.0,18438.0,26116.0,0.0,2016-01-14,2016,1,2,14,1,2.339550818424058
cdc43992-adf1-4dfb-b140-ea82c6632f94,000e5096-7c7a-4c8c-9a74-434cea94e4bf,0,2015-06-04 11:39:00,15047.0,0,0.0,0.7925357813801251,2.0,1.0,42788.0,-1,35.32015393209608,4.0,0.0,7360.0,211.8,32.0,5.0,0.0,7498.0,10532.0,0.0,2015-06-04,2015,6,23,4,2,0.49830531002857714
4d16debf-6104-4652-a9a2-20f15b3e986e,000ed381-6725-43b5-bc13-4b742bd9b212,0,2015-07-10 14:02:00,3007.0,0,0.0,0.7925357813801251,4.0,2.0,33794.0,-1,35.32015393209608,3.0,0.0,740.0,402.71,23.7,6.0,0.0,16148.0,18434.0,0.0,2015-07-10,2015,7,28,10,3,5.37013634852012
