loan_id,customer_id,loan_status,application_time,current_loan_amount,term,tax_liens,purpose,no_of_properties,home_ownership,annual_income,years_in_current_job,months_since_last_delinquent,no_of_cars,no_of_children,credit_score,monthly_debt,years_of_credit_history,no_of_open_accounts,no_of_credit_problems,current_credit_balance,max_open_credit,bankruptcies
c618eb4d-5592-425a-90b3-0f94afb6c69d,00003c89-d86a-48a2-9f95-e1ec9d488ee1,loan given,2016-05-05 11:01:00,3936,short term,0.0,debt consolidation,4,rent,114144.0,< 1 year,None,0,3,729.0,756.2,8.8,21,0,5717,13876,0.0
7fd66214-49ca-4313-967a-50d200b3752a,00010876-7972-40c5-8238-e1f187ca1396,loan given,2016-05-30 12:16:00,19508,short term,0.0,debt consolidation,3,home mortgage,None,none,None,2,3,None,1108.88,18.2,18,0,36103,74134,0.0
9dd417c9-590d-4dba-a326-ea3321d98a24,0002005f-3575-462e-bb81-714530e8e752,loan given,2016-05-31 13:48:00,6402,short term,0.0,debt consolidation,0,home mortgage,80024.0,4 years,43.0,2,3,736.0,1333.73,35.6,14,1,7145,20532,1.0
abf3db48-e6fb-4ac5-884a-598f1a2979fc,00024ad3-b367-44e3-81ff-4bee18ed00b4,loan given,2015-07-19 10:17:00,99999999,short term,0.0,debt consolidation,4,home mortgage,161684.0,10+ years,None,0,1,747.0,1414.73,26.0,9,0,33575,0,0.0
f36ec981-8ad7-4757-9541-d9d6d8561bb3,0003f10e-f8f4-4eb1-9bb8-b980fdda707c,loan given,2015-10-03 10:34:00,11940,short term,0.0,debt consolidation,4,own home,None,10+ years,None,5,1,None,1439.44,21.2,12,0,6267,49343,0.0
5656635e-cdbc-4015-9f6d-e76fb56f96d1,00042bee-549b-486a-909e-0d0e55aeeddf,loan given,2016-12-07 13:03:00,99999999,short term,0.0,home improvements,0,home mortgage,110833.0,10+ years,15.0,5,0,737.0,1939.57,13.9,15,0,20499,79145,0.0
d12cc147-fadf-44c1-a0fd-ea9dad37e8f1,00062646-806a-4e8c-8cfd-afeb458cdf22,loan refused,2016-07-11 11:50:00,18497,long term,0.0,other,2,home mortgage,47165.0,none,26.0,5,0,6130.0,475.58,22.7,12,0,2908,11868,0.0
7661d390-2394-4ee1-b2e7-8440f8c5f978,000685bc-92e8-44ca-9943-7668d3efc988,loan given,2015-07-06 13:54:00,9843,short term,0.0,debt consolidation,2,rent,98399.0,10+ years,16.0,0,2,735.0,1361.18,33.2,18,0,4554,24752,0.0
56f59a9d-6b62-48d0-a121-82b64760fe6c,0006b5d2-2fc7-41f8-85ca-8402226940bb,loan refused,2016-01-17 12:16:00,20812,long term,0.0,other,2,home mortgage,None,9 years,None,3,2,None,1031.63,15.1,20,0,11825,19291,0.0
cd6cb65b-10a1-43b8-a83d-569184b35ae7,0007b08c-a4ba-436d-af3e-d91745216fd8,loan given,2015-08-22 11:01:00,16400,short term,0.0,home improvements,4,own home,97375.0,10+ years,None,3,3,749.0,177.71,20.9,14,0,2806,93549,0.0
c0d81bd9-a06b-4040-915b-1757b828fe8c,00092d54-c8d4-4749-8ff2-f2f25af4a31d,loan refused,2016-04-16 11:03:00,18090,short term,0.0,debt consolidation,3,home mortgage,None,10+ years,None,1,2,None,1430.87,15.2,12,0,32727,42011,0.0
b986fc3f-01dc-4ecd-9d3c-3770be1a9c77,00099fd2-d3a6-45a9-a1bd-076ffe3f6de7,loan given,2016-03-13 13:15:00,99999999,short term,0.0,debt consolidation,3,rent,68558.0,< 1 year,None,0,2,744.0,1011.23,12.8,11,0,14656,20671,0.0
008405fc-21d5-4531-a4a5-117feb1119c9,000ae2e0-788e-4b49-b861-5e241a68d5d4,loan refused,2016-09-02 14:42:00,2932,short term,0.0,debt consolidation,4,rent,46915.0,6 years,40.0,2,0,730.0,1129.87,18.4,14,1,5432,11247,1.0
77a9bcae-7cec-4391-a308-ba3c67874fb2,000b0ae9-bde2-4277-b18b-93eb51ebed60,loan refused,2016-10-22 11:02:00,29355,long term,0.0,debt consolidation,1,home mortgage,None,8 years,23.0,0,0,None,1592.51,23.0,15,0,32086,36881,0.0
87b6a064-b524-4cff-a968-b176bdc70075,000bbb5d-3a62-4712-908e-caacd7a815d5,loan given,2016-10-28 14:18:00,33231,short term,0.0,debt consolidation,0,,,,,,,,,,,,,,
4345fb18-e180-4e5d-acaa-0094a35aefa7,000d6327-c459-4bd5-bc1b-4437b366b719,loan given,2016-04-07 14:23:00,10134,short term,0.0,other,1,,,,,,,,,,,,,,
ef7904b9-94ec-4e54-b43b-d0c8ea0f5f74,000db80b-d11b-4f8f-aaa8-597ff693131b,loan given,2015-06-07 10:38:00,27829,short term,0.0,debt consolidation,0,home mortgage,99390.0,10+ years,None,5,2,749.0,2103.76,29.0,23,0,164392,395174,0.0
55810357-13e5-4c12-8707-e6e09a82299e,000e1ab7-41d9-46a0-be1c-21f81721a040,loan given,2016-01-14 12:01:00,7881,short term,0.0,debt consolidation,1,home mortgage,89644.0,4 years,42.0,0,0,746.0,1255.02,15.6,8,0,18438,26116,0.0
cdc43992-adf1-4dfb-b140-ea82c6632f94,000e5096-7c7a-4c8c-9a74-434cea94e4bf,loan refused,2015-06-04 11:39:00,15047,short term,0.0,debt consolidation,2,home mortgage,42788.0,none,None,4,0,7360.0,211.8,32.0,5,0,7498,10532,0.0
4d16debf-6104-4652-a9a2-20f15b3e986e,000ed381-6725-43b5-bc13-4b742bd9b212,loan refused,2015-07-10 14:02:00,3007,short term,0.0,debt consolidation,4,own home,33794.0,none,None,3,0,740.0,402.71,23.7,6,0,16148,18434,0.0
a27b93d2-d5ca-4215-8318-5f9bc77a3685,000efe37-441f-4b19-b5e4-81bfaff4bede,loan refused,2016-03-26 13:25:00,25858,long term,0.0,debt consolidation,3,rent,71321.0,5 years,None,4,1,672.0,357.2,7.8,17,0,8293,63309,0.0
97cebd54-0680-4c12-afd1-a0f94d3e323a,000f9236-4a3c-4384-97fc-80f3b601009a,loan given,2016-07-23 11:12:00,8891,short term,0.0,debt consolidation,3,rent,57298.0,2 years,32.0,4,3,729.0,335.67,28.6,9,0,13439,26352,0.0
