loan_id,customer_id,loan_status,application_time,current_loan_amount,term,tax_liens,purpose,no_of_properties,home_ownership,annual_income,years_in_current_job,months_since_last_delinquent,no_of_cars,no_of_children,credit_score,monthly_debt,years_of_credit_history,no_of_open_accounts,no_of_credit_problems,current_credit_balance,max_open_credit,bankruptcies
f122c3f1-08ef-439e-912a-449802deb2a1,000877d4-55ed-4126-abda-968f61da7b7f,loan given,2015-04-25 12:50:00,5072.0,short term,0.0,debt consolidation,0.0,,,,,,,,,,,,,,
e4deec6d-406f-4873-bbdf-46f252c0b92c,0008bc47-41f5-4e2b-b656-db39bc194a01,loan given,2015-04-25 11:34:00,12317.0,long term,0.0,debt consolidation,0.0,,,,,,,,,,,,,,
87b6a064-b524-4cff-a968-b176bdc70075,000bbb5d-3a62-4712-908e-caacd7a815d5,loan given,2015-01-06 14:43:00,33231.0,short term,0.0,debt consolidation,1.0,,,,,,,,,,,,,,
54bd20d4-3baf-4143-afc5-b6db9300a14d,00127cca-7050-4867-9410-8249ef8ad4d2,loan given,2015-04-08 12:23:00,15612.0,long term,0.0,home improvements,2.0,,,,,,,,,,,,,,
3818489f-f665-49ec-996d-0193be1f7bda,00133763-a161-422b-9ff8-429139fc54cc,loan given,2015-05-24 13:40:00,9125.0,short term,0.0,debt consolidation,0.0,rent,36306.0,nan,,4.0,3.0,749.0,305.57,21.0,10.0,0.0,8646.0,26278,0.0
b74cc66f-320d-4e6a-b366-5aec8414725b,0013a923-3fcb-4f4c-be49-38cfc90a8377,loan refused,2015-02-10 12:07:00,7959.0,short term,0.0,home improvements,2.0,home mortgage,,2 years,,4.0,0.0,,949.3,21.0,12.0,1.0,4993.0,14729,1.0
aea15487-584b-4f41-a012-6f04d023defe,001534d4-00d8-4b98-acdc-a43a92892e4f,loan given,2015-02-10 10:42:00,29346.0,long term,0.0,debt consolidation,2.0,,,,,,,,,,,,,,
52770c12-6d66-4fec-a3ea-4c1b00569f6c,00175655-b8f5-4ac5-85b4-459902a33fc8,loan given,2015-04-15 12:16:00,6011.0,short term,0.0,small_business,4.0,,,,,,,,,,,,,,
de64be8f-610f-4d0c-a8ad-91399a1e3524,001ccc7d-06e8-4dd8-8377-acaa447a9f3c,loan refused,2015-02-22 11:44:00,2464.0,short term,0.0,debt consolidation,3.0,rent,44352.0,5 years,29.0,0.0,0.0,722.0,1105.1,17.0,9.0,0.0,11859.0,17941,0.0
163c053d-5139-427a-8a9e-cd5e797fa057,00218712-8b00-4bfd-9ea1-8821e9f51410,loan refused,2015-02-21 14:02:00,11700.0,short term,0.0,debt consolidation,3.0,rent,65325.0,8 years,77.0,3.0,3.0,734.0,1339.16,11.0,17.0,0.0,15033.0,25829,0.0
51ecec29-09a5-49ba-ad6e-3c696267aab5,0022e323-e03f-45e2-9702-30c6d3fdee96,loan refused,2015-02-15 10:35:00,7863.0,short term,0.0,debt consolidation,3.0,rent,39316.0,8 years,,1.0,3.0,734.0,547.15,15.0,8.0,0.0,11626.0,21023,0.0
08392ffc-202c-47e7-8538-7bdf802d3cd6,00295514-070f-4fb5-958c-dbaf369ce297,loan given,2015-03-15 13:49:00,99999999.0,short term,0.0,debt consolidation,3.0,,,,,,,,,,,,,,
b228d72e-a7fd-4295-b3ad-13665a54f436,00298d90-81e3-437f-aab7-6d96dd9d9d5b,loan given,2015-01-10 10:08:00,9824.0,short term,0.0,debt consolidation,4.0,home mortgage,,nan,55.0,4.0,2.0,,829.39,20.0,10.0,0.0,36897.0,55567,0.0
0d718f4f-8b6d-4adc-b635-32f516bbe83a,0029bd00-b6e0-4c53-af7e-f26eb92c431c,loan given,2015-01-19 10:38:00,12258.0,long term,0.0,buy house,1.0,,,,,,,,,,,,,,
2fa4ccec-90be-4b48-9322-679acf093f34,002b3527-ddfe-469c-80cf-af142d429386,loan given,2015-05-27 11:31:00,7994.0,short term,0.0,debt consolidation,2.0,rent,69951.0,6 years,,2.0,3.0,727.0,1025.95,11.0,8.0,0.0,7246.0,13175,0.0
d95b040c-d510-4c8a-877e-f1001f007073,002e2210-ed31-4767-b268-bb81de86e450,loan given,2015-03-05 11:09:00,34311.0,short term,0.0,other,4.0,,,,,,,,,,,,,,
d9cb2ad7-907c-44cb-80ac-d502a6ccca1d,00321e24-7afe-41ed-86e0-8014e604021f,loan refused,2015-05-02 12:55:00,17350.0,long term,0.0,debt consolidation,0.0,rent,48989.0,5 years,,4.0,2.0,715.0,975.69,17.0,17.0,0.0,27330.0,42241,0.0
231a66ae-e5ce-4fa0-a09c-19b8b131bb29,003474c7-ec1b-4ef5-94df-ad54ad2ddff6,loan given,2015-03-19 11:58:00,11239.0,short term,0.0,debt consolidation,4.0,rent,55333.0,< 1 year,,1.0,0.0,741.0,228.71,19.0,22.0,0.0,9795.0,20449,0.0
4c31e243-06bc-490b-aedc-36395bd332dc,0039837d-fd45-4ff8-b87a-7b985bec51f7,loan given,2015-02-14 14:51:00,24010.0,long term,0.0,debt consolidation,3.0,home mortgage,108043.0,10+ years,,4.0,1.0,736.0,997.6,21.0,5.0,0.0,1910.0,8487,0.0
ceeec2a3-3332-42bf-9486-fb01305050e9,003fc737-1307-4970-a64e-26b6ed7fb2c1,loan refused,2015-01-31 12:31:00,24794.0,long term,0.0,debt consolidation,4.0,rent,56498.0,6 years,,4.0,2.0,6700.0,1073.47,17.0,25.0,0.0,31073.0,38126,0.0
4ecd7094-baa2-40f8-9ed4-10e73270a30f,00401bcb-5a7d-4044-8dd3-cce86bb3795e,loan given,2015-03-27 12:34:00,14010.0,short term,0.0,debt consolidation,2.0,home mortgage,80056.0,1 year,,1.0,0.0,745.0,386.94,17.0,9.0,0.0,17155.0,23728,0.0
0f95e110-f165-4667-8075-f5dc05bc7822,0043bed6-a9d6-4619-825e-a65f2e6882d6,loan given,2015-05-03 14:45:00,5394.0,short term,0.0,debt consolidation,0.0,,,,,,,,,,,,,,
